268A,リガク・ホールディングス,TKY,現物,,,,,【底打ち待ちナンピン】1650~1700の底打ち（日足陽線）確認後に打診買い。2000~2100で戻り売り
3053,ペッパーフードサービス,TKY,現物,,,,,【レンジ上側狙い】186円(500株)保有。200円のノイズ耐えるため逆指値192円に広げ、215円指値で利益最大化。
3231,野村不動産ホールディングス,TKY,現物,,,,,09/28(月) 野村不HD(3231) 300株、指値利確は撤廃し逆指値915円に変更、株価上昇に伴い逆指値を引き上げ権利落ち前に手仕舞い
4005,住友化学,TKY,現物,,,,,550円で約定
4061,デンカ,TKY,現物,,,,,3500円指値・3300円逆指値のOCO注文、9月15日までに約定しなければ引け成行決済。
4175,ｃｏｌｙ,TKY,現物,,,,,逆指値2600円以下成行（新作情報解禁時の吹き値狙い、配信日発表時は即見直し）
485A,パワーエックス,TKY,,,,,,
5074,テスホールディングス,TKY,現物,,,,,9月24日(木)まで完全見送り、650円上抜けはダマシと確認し下落トレンド継続のため手出し無用。
6327,北川精機,TKY,現物,,,,,【ナンピン厳禁・損切り縮小】4000~4500でリバウンドで損益通算利用。
6526,ソシオネクスト,TKY,現物,,,,,1900円指値買い、利確2050円・損切1800円のOCO）を設定しつつ既存ポジションのナンピンは厳禁
9956,バローホールディングス,TKY,現物,,,,,利確指値は設定せず上値を追う戦略へ変更、3250円以下の逆指値(成行売)のみセットし、株価上昇に合わせて逆指値ラインを引き上げる。
9962,ミスミグループ本社,TKY,現物,,,,,【中期スイング】3700円(100株)保有。好決算背景に4000円指値放置(1~2ヶ月軸)。3500円割れで損切り
6323,ローツェ,TKY,現物,,,,,買指値3810円／利確4200円／損切3720円逆指値・4000円到達で逆指値3820円へ引上
7806,ＭＴＧ,TKY,現物,,,,,【スイング】7800円IFDOCO指値(利確8650/損切7450)、2週間未約定で見送り、買値+5%上昇で逆指値を建値引上、ナンピン厳禁
4064,日本カーバイド工業,TKY,現物,,,,,【指値限定・待ち伏せ】成行/逆指値はスリッページ厳禁。3000~3150円急落で指値買い、3500~3800円で指値利確。
2962,テクニスコ,TKY,現物,,,,,【リトライ待ち伏せ】1250円指値買い、1205円損切り(制限値幅調整済)、1800円利確で+16.5万円狙い。
6862,ミナトホールディングス,TKY,,,,,,
6522,アスタリスク,TKY,,,,,,
7911,ＴＯＰＰＡＮホールディングス,TKY,現物,,,,,9/30に株式分割(1:2) 買4930。利確5130/損切4880（ボックス底値ピンポイント・RR1:4）
5016,ＪＸ金属,TKY,現物,,,,,2週間有効IFDOCO：3550円で100株指値買・利確4350円・損切3350円（特定口座スイング専用）
4042,東ソー,TKY,現物,,,,,超短期サポート反発狙い。2667円指値買、利確2780円・損切2600円のIFDOCO注文（期間2週間）でリスクリワード重視の100株打診買い
5253,カバー,TKY,現物,,,,,NISA成長枠で1200円指値買い(1250円アラーム)、特定口座で1350円指値買い（約定後利確1600円・損切1221円のOCO注文）
6744,能美防災,TKY,現物,,,,,4080円の巨大買い板直上である4085円で指値買い、約定後は4350円で利確、見せ板崩れを回避するため4050円で損切り
6844,新電元工業,TKY,現物,,,,,"09/28(月) までを期限とし、3,080円で指値買い、約定後に3,500円で利益確定、2,880円で損切りするIFDOCO注文を出す"
2698,キャンドゥ,TKY,現物,,,,,10/06(火)まで、3340円指値買、約定後3550円指値売・3250円逆指値売のOCO
6191,エアトリ,TKY,現物,,,,,10/06(火) IFDOCO買770 利確810 損切755(300株)
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,TKY,現物,,,,,寄り天揉み合い想定につき逆指値5200円(+8千円確約)を維持、利確を現実的な5350円(+2.3万円)に再設定
5981,東京製綱,TKY,現物,,,,,1855円の逆指値で新規買、約定後は1980円指値利確・1795円逆指値損切
8136,サンリオ,TKY,現物,,,,,1200円指値・利確1450円/損切1140円
6203,豊和工業,TKY,現物,,,,,買指値2100円、約定後11/11(水)までOCO利確2500円・逆指値1900円
7013,ＩＨＩ,TKY,現物,,,,,買指値2600円・利確指値2950円・損切逆指値2500円のIFDOCO注文を発注し、他銘柄で資金が必要になれば取消。
